Word,Start,End,Code
mom,1,1.34,46
worry,2.8,3.24,45
time,5.22,5.58,45
bad,7.36,7.56,45
taught,8.62,8.88,45
wood,11.18,11.4,46
clips,14,14.26,46
shoot,14.74,14.98,45
people,15.3,15.56,46
looking,22.4,22.9,45
saw,24.42,24.58,46
gray,26.34,26.62,45
outside,31.34,31.74,46
yard,34.88,35.08,46
tree,36.46,36.66,46
engine,37.88,38.1,46
back,39.7,39.88,46
window,41.08,41.32,46
near,43.96,44.18,45
friend,49.04,49.22,45
house,53.68,54.02,46
going,57.7,57.94,45
none,61.92,62.04,45
scared,64.16,64.54,45
